Client ID,Client Name ,Purchase Date,Product ID,Product Name,Quantity Purchased ,Client Status ,Product Price,Total Purchase Amount 
1011,Keystone Builders Ltd.,10.02.2023,CM1001,Cement,50,Active,9,99 €,499,50 € 
1011,Keystone Builders Ltd.,05.03.2023,CM1003,Gravel,30,Active,7,99 €,239,70 € 
1011,Keystone Builders Ltd.,22.04.2023,CM1007,Concrete Mix,20,Active,12,99 €,259,80 € 
1011,Keystone Builders Ltd.,18.05.2023,CM1010,Drywall Sheets,40,Active,10,99 €,439,60 € 
1011,Keystone Builders Ltd.,12.06.2023,CM1015,Conduits,15,Active,2,99 €,44,85 € 
1011,Keystone Builders Ltd.,08.07.2023,CM1020,Vinyl Flooring,25,Active,22,99 €,574,75 € 
1012,Legacy Construction Inc.,03.08.2023,CM1002,Sand,60,Active,5,49 €,329,40 € 
1012,Legacy Construction Inc.,25.09.2023,CM1005,Plywood,35,Active,15,99 €,559,65 € 
1012,Legacy Construction Inc.,11.10.2023,CM1013,PVC Pipe Fittings,45,Active,1,49 €,67,05 € 
1012,Legacy Construction Inc.,29.11.2023,CM1023,Paint,50,Active,24,99 €,1.249,50 € 
1013,Majestic Constructions,14.12.2023,CM1006,Bricks,100,Active,0,75 €,75,00 € 
1013,Majestic Constructions,20.01.2023,CM1018,Wood Beams,60,Active,24,99 €,1.499,40 € 
1013,Majestic Constructions,28.02.2023,CM1025,Caulking,40,Active,7,99 €,319,60 € 
1014,Nexus Infrastructure Co.,22.03.2023,CM1008,Mortar Mix,80,Active,8,99 €,719,20 € 
1014,Nexus Infrastructure Co.,16.04.2023,CM1014,Electrical Wiring,55,Active,19,99 €,1.099,45 € 
1014,Nexus Infrastructure Co.,03.05.2023,CM1019,Wood Stain,35,Active,8,99 €,314,65 € 
1014,Nexus Infrastructure Co.,21.06.2023,CM1028,Deck Screws,75,Active,8,99 €,674,25 € 
1015,OmniBuild Ltd.,19.07.2023,CM1009,Insulation Foam,50,Active,25,99 €,1.299,50 € 
1015,OmniBuild Ltd.,30.08.2023,CM1031,Concrete Blocks,90,Active,1,49 €,134,10 € 
